Country,Protest Name,Start Date,Freedom Rating (Status),Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,Size category,Capital city,Active protests,Economic motivation?,Political motivation?,Corruption motivation?,Protests with a significant outcome,"Large protests (Over 100,000 protesting)",Violent government response,Long protests (more than 3 months),Coronavirus-related protests,percentage situations
Serbia,2023 election protests,23-Dec,Partly free,"The December 2023 parliamentary election, won by the Serbian Progressive Party, was called unfair by multiple international observers due to media bias favoring the ruling party, improper influence exerted by President Aleksandar Vučić, and irregularities such as vote buying.",Call for the election to be annulled due to irregularities.,">10,000","Students, opposition",4 months,"Serbia's parliament convened for the first time since the election on February 4, while the opposition continued to protest. Opposition lawmakers blew whistles and traded insults with Serbian Progressive Party lawmakers, claiming they stole the election. The Belgrade local elections will be rerun later in 2024.",Tens of thousands,Belgrade,0,0,X,0,0,0,0,X,0,"1000,00%"
Democratic Republic of the Congo,Protest against the West,Feb-24,Not free,"Widespread violence and a Tutsi-led March 23 (M23) rebellion advancing toward Goma. Western countries provide support for Rwanda, which is accused of backing the Tutsi-led M23 rebellion in the Congo.","Express discontent with Western countries—namely, the United States, France, and Belgium—for their support of Rwanda. Demand that Westerners leave the country and stop financial assistance to Rwanda.",>100,General public,1 month,No policy/leadership change in response to protests. The United Nations already plans to withdraw peacekeepers from the region by the end of the year.,Hundreds,Kinshasa,0,0,X,0,0,0,X,0,0,"10000,00%"
Kenya,Protest for the rule of law,24-jan.,Partly free,"President William Ruto declared his intention to disregard court orders, asserting that some justices have colluded with the opposition to obstruct the administration's agenda.","Demand Ruto respect the rule of law, and call for impeachment if he does not.",>10,Law Society of Kenya,1 month,No policy/leadership change in response to the protests.,Dozens,Nairobi,0,0,X,0,0,0,X,0,0,"1000,00%"
Ecuador,Shutdown of Auca Petroecuador plant,23-Oct,Free,State-owned energy firm Petroecuador is extracting crude oil in Amazonian region of Ecuador without adequately compensating locals.,Demand Petroecuador pay for improved bridges and roads in the region.,">1,000",Auca community,3 months,No policy/leadership change in response to the protests. Petroecuador claims they are not responsible for goods provisions.,Thousands,Quito,0,X,0,0,0,0,0,0,0,"100,00%"
Bulgaria,Farmers' protest,23-Apr,Free,European Commission policies to allow Ukrainian farmers to export grains through EU countries—intended to counteract the reduction in grain exports caused by Russian blockades of Ukrainian Black Sea ports—resulted in a glut of Ukrainian grains in Bulgarian markets.,Anger over lowered prices of foreign grain imports and limited availability of local warehouses. Demand state compensation to offset high costs and falling income.,>100,Farmers,1 week in April 2023; 3 months between February 2024 to April 2024,"On April 28, 2023, the European Commission announced an agreement in principle with Bulgaria, Hungary, Poland, Romania, and Slovakia to provide €100 million in compensation to farmers and require that Ukrainian exports of wheat, maize, oilseed, and sunflower seed only enter those five countries in shipments that are already bound for another destination.  The Bulgarian caretaker government disbursed €150 million in funds to compensate farmers facing low-cost competition from Ukrainian agriculture imports. In April 2024, the EU approved legislation that eased the environmental rules of the Common Agricultural Policy (CAP). In September 2024, the European Commission announced that EU member states could increase the CAP funds provided to farmers.",Hundreds,Sofia,0,X,X,0,X,0,0,0,0,"10000,00%"
Mexico,Protect Democracy protest,Feb-24,Partly free,"President Andrés Manuel López Obrador introduced a package of constitutional reforms to Congress that would overhaul the nation's electoral authority and the National Electoral Institute, and would require judges to be elected via popular vote.","Protesters decried the legislation, which they say undermines Mexican democracy.","<700,000",General public,1 day,No policy/leadership change in response to the protests.,Hundreds of thousands,Mexico City,0,0,X,0,0,X,0,0,0,"<700,000"
Belgium,Farmers' protest 2024,24-jan.,Free,"Farmers' frustration about rising costs, EU environmental policies, and a plan for cheap food imports from outside the EU, which they fear will undercut their prices.",Demand financial assistance to ensure the price of food reflects the additional costs European farmers face to comply with environmental regulation.,">1,000",Farmers,6 months,"On March 26, about 250 tractors arrived in Brussels and sprayed manure toward police ahead of a meeting of the twenty-seven EU agricultural ministers, which police responded to with tear gas and water cannons.  In April 2024, the EU approved legislation that eased the environmental rules of the Common Agricultural Policy (CAP). In September 2024, the European Commission announced that EU member states could increase the CAP funds provided to farmers.",Thousands,Brussels,0,X,0,0,X,0,X,X,0,"100,00%"
France,Farmers' protest 2024,24-jan.,Free,"Farmers cite frustration with government tax on tractor fuel, cheap agricultural imports, water storage issues, excessive restrictions, and red tape.","Demand the enforcement of a law designed to safeguard farmgate prices, the continuation of diesel tax breaks for agricultural vehicles, immediate payout of EU agricultural subsidies, guarantees on insurance payouts related to health and climate, and immediate aid for winemakers and organic farmers.",">1,000",FNSEA farming union,7 months,"The government scrapped plans to eliminate the diesel tax break for agricultural vehicles and announced a series of measures to ease financial and administrative burdens placed upon farmers. Prime Minister Gabriel Attal also confirmed France would remain opposed to the EU signing a free-trade agreement with the Mercosur trade group. In April 2024, the EU approved legislation that eased the environmental rules of the Common Agricultural Policy (CAP). In September 2024, the European Commission announced that EU member states could increase the CAP funds provided to farmers.",Thousands,Paris,0,X,0,0,X,0,0,X,0,"100,00%"
Germany,Farmers' protests,23-Dec,Free,Germany proposed cuts to diesel subsidies and tax breaks for agricultural vehicles.,Farmers fear this will threaten their livelihood.,>100,Farmers,3 months,"In March 2024, Germany's finance minister proposed a tax relief plan designed to appease farmers.  In June 2024, the ruling coalition of the parliament agreed to introduce this relief package. In April 2024, the EU approved legislation that eased the environmental rules of the Common Agricultural Policy (CAP). In September 2024, the European Commission announced that EU member states could increase the CAP funds provided to farmers.",Hundreds,Berlin,0,X,0,0,X,0,0,0,0,"10000,00%"
Spain,Farmers' protest 2024,24-jan.,Free,"Farmers claim EU environmental regulations, such as a new EU requirement that 4 percent of farmland to be left fallow to receive subsidies, undercut their ability to compete with external prices. They also object to renewed negotiations to establish a trade deal between the EU and the South American Mercosur bloc.",Demand that environmental regulations (and other regulations) that raise costs for Spanish farmers be relaxed. Also demand a general reduction of red tape and taxes.,">1,000","Farmers, Asaja, COAG, UPA",Active,"In April 2024, the EU approved legislation that eased the environmental rules of the Common Agricultural Policy (CAP). In September 2024, the European Commission announced that EU member states could increase the CAP funds provided to farmers.",Thousands,Madrid,X,X,0,0,X,0,X,X,0,"100,00%"
